"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","TOT","MEANSCORE","A","2000",528,
"AUS","PISAREAD","TOT","MEANSCORE","A","2003",525,
"AUS","PISAREAD","TOT","MEANSCORE","A","2006",513,
"AUS","PISAREAD","TOT","MEANSCORE","A","2009",515,
"AUS","PISAREAD","TOT","MEANSCORE","A","2012",512,
"AUS","PISAREAD","TOT","MEANSCORE","A","2015",503,
"AUT","PISAREAD","TOT","MEANSCORE","A","2000",492,
"AUT","PISAREAD","TOT","MEANSCORE","A","2003",491,
"AUT","PISAREAD","TOT","MEANSCORE","A","2006",490,
"AUT","PISAREAD","TOT","MEANSCORE","A","2012",490,
"AUT","PISAREAD","TOT","MEANSCORE","A","2015",485,
"BEL","PISAREAD","TOT","MEANSCORE","A","2000",507,
"BEL","PISAREAD","TOT","MEANSCORE","A","2003",507,
"BEL","PISAREAD","TOT","MEANSCORE","A","2006",501,
"BEL","PISAREAD","TOT","MEANSCORE","A","2009",506,
"BEL","PISAREAD","TOT","MEANSCORE","A","2012",509,
"BEL","PISAREAD","TOT","MEANSCORE","A","2015",499,
"CAN","PISAREAD","TOT","MEANSCORE","A","2000",534,
"CAN","PISAREAD","TOT","MEANSCORE","A","2003",528,
"CAN","PISAREAD","TOT","MEANSCORE","A","2006",527,
"CAN","PISAREAD","TOT","MEANSCORE","A","2009",524,
"CAN","PISAREAD","TOT","MEANSCORE","A","2012",523,
"CAN","PISAREAD","TOT","MEANSCORE","A","2015",527,
"CZE","PISAREAD","TOT","MEANSCORE","A","2000",492,
"CZE","PISAREAD","TOT","MEANSCORE","A","2003",489,
"CZE","PISAREAD","TOT","MEANSCORE","A","2006",483,
"CZE","PISAREAD","TOT","MEANSCORE","A","2009",478,
"CZE","PISAREAD","TOT","MEANSCORE","A","2012",493,
"CZE","PISAREAD","TOT","MEANSCORE","A","2015",487,
"DNK","PISAREAD","TOT","MEANSCORE","A","2000",497,
"DNK","PISAREAD","TOT","MEANSCORE","A","2003",492,
"DNK","PISAREAD","TOT","MEANSCORE","A","2006",494,
"DNK","PISAREAD","TOT","MEANSCORE","A","2009",495,
"DNK","PISAREAD","TOT","MEANSCORE","A","2012",496,
"DNK","PISAREAD","TOT","MEANSCORE","A","2015",500,
"FIN","PISAREAD","TOT","MEANSCORE","A","2000",546,
"FIN","PISAREAD","TOT","MEANSCORE","A","2003",543,
"FIN","PISAREAD","TOT","MEANSCORE","A","2006",547,
"FIN","PISAREAD","TOT","MEANSCORE","A","2009",536,
"FIN","PISAREAD","TOT","MEANSCORE","A","2012",524,
"FIN","PISAREAD","TOT","MEANSCORE","A","2015",526,
"FRA","PISAREAD","TOT","MEANSCORE","A","2000",505,
"FRA","PISAREAD","TOT","MEANSCORE","A","2003",496,
"FRA","PISAREAD","TOT","MEANSCORE","A","2006",488,
"FRA","PISAREAD","TOT","MEANSCORE","A","2009",496,
"FRA","PISAREAD","TOT","MEANSCORE","A","2012",505,
"FRA","PISAREAD","TOT","MEANSCORE","A","2015",499,
