,Country,Code,ave_result,Total
0,Australia,AUS,502.0,78816.50264912067
1,Austria,AUT,492.0,115410.22891873887
2,Czech Republic,CZE,491.0,56354.70789263735
3,Denmark,DNK,504.0,117633.54053812411
4,Finland,FIN,523.0,89469.97720089101
5,France,FRA,496.0,87622.31734429947
6,Germany,DEU,508.0,81542.44447882564
7,Hungary,HUN,475.0,49465.87707032237
8,Iceland,ISL,481.0,103571.30507661504
9,Ireland,IRL,509.0,86663.40187831529
10,Italy,ITA,485.0,89804.80367762444
11,Japan,JPN,529.0,76257.65008391983
12,Republic of Korea,KOR,519.0,59933.82112717922
13,Luxembourg,LUX,483.0,200673.53573930476
14,Mexico,MEX,416.0,24219.747597827776
15,Netherlands,NLD,508.0,114575.35009846158
16,New Zealand,NZL,506.0,60992.22586611289
17,Norway,NOR,504.0,115857.98580194986
18,Poland,POL,504.0,51783.182862657835
19,Portugal,PRT,497.0,75921.52023181367
20,Slovak Republic,SVK,463.0,45997.783911352766
21,Spain,ESP,492.0,81123.87695628218
22,Sweden,SWE,496.0,110162.34810654327
23,Switzerland,CHE,506.0,136036.66213589458
24,United Kingdom of Great Britain and Northern Ireland,GBR,500.0,95985.17737678158
25,United States of America,USA,488.0,104441.88936972196
26,Brazil,BRA,395.0,32170.622056201893
27,Chile,CHL,443.0,29453.162148198986
28,Estonia,EST,524.0,57355.88988917477
29,Indonesia,IDN,395.0,8319.868055589788
30,Latvia,LVA,487.0,60220.65321073387
31,Colombia,COL,410.0,18314.96824806054
