,Country,Code,ave_result,gdp_ppp
0,Australia,AUS,502.0,43832.4262205967
1,Austria,AUT,492.0,44074.9477453315
2,Belgium,BEL,503.0,41723.1237282863
3,Canada,CAN,524.0,42983.100055685
4,Czech Republic,CZE,491.0,30380.5907321466
5,Denmark,DNK,504.0,45483.7645089796
6,Finland,FIN,523.0,38993.6706673048
7,France,FRA,496.0,37765.7508688631
8,Germany,DEU,508.0,43784.1480962435
9,Greece,GRC,459.0,24094.7941892566
10,Hungary,HUN,475.0,24831.3460590894
11,Iceland,ISL,481.0,42674.4240033124
12,Ireland,IRL,509.0,60944.0247460173
13,Italy,ITA,485.0,34244.7100415304
14,Japan,JPN,529.0,37818.0907631193
15,Republic of Korea,KOR,519.0,34177.6544703221
16,Luxembourg,LUX,483.0,95311.114019994
17,Mexico,MEX,416.0,16667.8416108388
18,Netherlands,NLD,508.0,46353.8519057892
19,New Zealand,NZL,506.0,34646.3136088164
20,Norway,NOR,504.0,63669.5253399995
21,Poland,POL,504.0,25299.0501355247
22,Portugal,PRT,497.0,26548.3254669136
23,Slovak Republic,SVK,463.0,28254.2557926965
24,Spain,ESP,492.0,32215.9732216346
25,Sweden,SWE,496.0,45488.2916603657
26,Switzerland,CHE,506.0,56510.8606464429
27,Turkey,TUR,424.0,23382.2515136912
28,United Kingdom of Great Britain and Northern Ireland,GBR,500.0,38509.2141550924
29,United States of America,USA,488.0,52789.965565712
30,Brazil,BRA,395.0,14666.0181678984
31,Chile,CHL,443.0,22536.6176878946
32,Estonia,EST,524.0,27328.6437068367
33,Indonesia,IDN,395.0,10367.6952975884
34,Israel,ISR,472.0,31970.6888869254
35,Latvia,LVA,487.0,23057.3106173725
36,Slovenia,SVN,509.0,29097.3427670201
37,OECD members,OAVG,492.0,38294.4490861729
38,Colombia,COL,410.0,12985.3831345266
39,"China, Hong Kong Special Administrative Region",HKG,533.0,53489.605173392
40,Peru,PER,394.0,11767.5217406878
41,Singapore,SGP,552.0,80892.064838207
42,"China, Macao Special Administrative Region",MAC,527.0,100517.810672196
