,Country,Code,ave_result,gdp_ppp_log
0,Australia,AUS,502.0,10.688129147130564
1,Austria,AUT,492.0,10.693646821680149
2,Belgium,BEL,503.0,10.63881077995243
3,Canada,CAN,524.0,10.668562295461513
4,Czech Republic,CZE,491.0,10.321559220731835
5,Denmark,DNK,504.0,10.725110717283748
6,Finland,FIN,523.0,10.571154621359314
7,France,FRA,496.0,10.539157909215405
8,Germany,DEU,508.0,10.687027115246398
9,Greece,GRC,459.0,10.089751087400957
10,Hungary,HUN,475.0,10.119862088031214
11,Iceland,ISL,481.0,10.661355050285374
12,Ireland,IRL,509.0,11.01771109476348
13,Italy,ITA,485.0,10.441287380419356
14,Japan,JPN,529.0,10.540542858736151
15,Republic of Korea,KOR,519.0,10.439327331445472
17,Mexico,MEX,416.0,9.72123648990773
18,Netherlands,NLD,508.0,10.744059672304513
19,New Zealand,NZL,506.0,10.452946609602352
20,Norway,NOR,504.0,11.06146131798092
21,Poland,POL,504.0,10.138522129960409
22,Portugal,PRT,497.0,10.186721953754988
23,Slovak Republic,SVK,463.0,10.248999372757467
24,Spain,ESP,492.0,10.380217671317714
25,Sweden,SWE,496.0,10.725210245679179
26,Switzerland,CHE,506.0,10.942188122492746
27,Turkey,TUR,424.0,10.059732531231655
28,United Kingdom of Great Britain and Northern Ireland,GBR,500.0,10.558652820345028
29,United States of America,USA,488.0,10.874076405529363
30,Brazil,BRA,395.0,9.59328840742963
31,Chile,CHL,443.0,10.0228967181216
32,Estonia,EST,524.0,10.215690651157075
33,Indonesia,IDN,395.0,9.246450029424512
34,Israel,ISR,472.0,10.372574789739325
35,Latvia,LVA,487.0,10.045738161582594
36,Slovenia,SVN,509.0,10.278402135142114
37,OECD members,OAVG,492.0,10.553060232189107
38,Colombia,COL,410.0,9.471579629593526
39,"China, Hong Kong Special Administrative Region",HKG,533.0,10.887242618181771
40,Peru,PER,394.0,9.373098620793268
41,Singapore,SGP,552.0,11.30087101218153
42,"China, Macao Special Administrative Region",MAC,527.0,11.518090211398414
