"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2000","2000",261.17876,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2005","2005",399.19789,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2006","2006",472.4293,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2007","2007",528.56876,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2008","2008",541.02645,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2009","2009",587.74783,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2010","2010",616.26902,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2011","2011",663.83671,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2012","2012",708.94914,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2013","2013",789.2711,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUS","Australia","2014","2014",810.06002,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2001","2001",21.15341,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2002","2002",28.03106,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2004","2004",64.64814,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2005","2005",130.98534,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2006","2006",133.35837,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2007","2007",121.93066,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2008","2008",127.73042,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2009","2009",149.01485,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2010","2010",162.84748,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","AUT","Austria","2011","2011",154.75371,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","BEL","Belgium","2001","2001",373.36482,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","BEL","Belgium","2002","2002",339.74668,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","BEL","Belgium","2003","2003",358.0604,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","BEL","Belgium","2004","2004",474.1717,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","BEL","Belgium","2005","2005",460.12922,,
"XUNIT_PPP_1_FSHH_FFNTR","Initial household funding per primary student, PPP$","BEL","Belgium","2006","2006",470.48148,,
