"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2000","2000",24725.62465,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2005","2005",32622.18048,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2006","2006",33710.6628,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2007","2007",35497.95717,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2008","2008",36915.62215,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2009","2009",44470.04697,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2010","2010",48058.60594,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2011","2011",47573.91067,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2012","2012",47404.69445,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2013","2013",55529.67659,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUS","Australia","2014","2014",56593.61899,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","1999","1999",13486.26538,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2000","2000",13144.84366,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2001","2001",13354.77236,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2002","2002",13914.94081,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2003","2003",13981.11111,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2004","2004",14631.61736,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2005","2005",15122.73718,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2006","2006",16268.65191,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2007","2007",16812.43892,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2008","2008",18098.16502,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2009","2009",19586.68482,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2010","2010",20065.2574,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2011","2011",20860.93947,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2012","2012",21463.16956,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2013","2013",22562.169,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","AUT","Austria","2014","2014",22828.59233,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2001","2001",17446.11233,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2002","2002",18732.49055,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2003","2003",18962.34491,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2004","2004",19522.61874,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2005","2005",20149.79382,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2006","2006",21811.84605,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2007","2007",22907.39771,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2008","2008",25694.59506,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2009","2009",26353.11018,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2010","2010",28017.86678,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2011","2011",29068.24995,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2013","2013",32342.69846,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","BEL","Belgium","2014","2014",33110.4584,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","1999","1999",43844.72015,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2000","2000",45903.71344,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2001","2001",44628.02663,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2002","2002",46837.9952,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2005","2005",51646.60831,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2007","2007",59180.92631,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2008","2008",60165.88118,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2009","2009",64979.77463,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2010","2010",70050.13079,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CAN","Canada","2011","2011",71792.43228,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","1999","1999",5806.92723,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2000","2000",6057.19151,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2001","2001",6738.35863,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2002","2002",7368.07545,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2003","2003",8190.86625,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2004","2004",8519.85992,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2005","2005",8722.29089,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2006","2006",10272.24251,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2007","2007",10399.29677,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2008","2008",10827.63581,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2009","2009",12035.81901,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2010","2010",11801.56543,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2011","2011",12912.96554,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2012","2012",12978.2697,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","CZE","Czechia","2013","2013",13124.57791,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","DNK","Denmark","1999","1999",11250.05684,,
"X_PPP_FSGOV","Government expenditure on education, PPP$ (millions)","DNK","Denmark","2000","2000",12363.12448,,
