"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2000","2000",20310.49425,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2005","2005",34048.41377,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2006","2006",35439.05361,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2007","2007",39762.03188,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2008","2008",48881.73679,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2009","2009",47186.54409,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2010","2010",63611.38338,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2011","2011",70873.16659,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2012","2012",75282.20355,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2013","2013",82430.32112,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUS","Australia","2014","2014",75792.11971,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","1999","1999",13275.13478,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2000","2000",10998.76083,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2001","2001",11002.52789,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2002","2002",11783.00583,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2003","2003",14031.68612,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2004","2004",15955.22101,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2005","2005",16586.65802,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2006","2006",17561.04129,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2007","2007",20005.55967,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2008","2008",22650.51494,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2009","2009",22930.87043,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2010","2010",22341.08281,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2011","2011",24107.92701,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2012","2012",22438.14541,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2013","2013",23856.38316,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","AUT","Austria","2014","2014",24078.26104,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2001","2001",13897.76823,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2002","2002",15395.33597,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2003","2003",18772.63585,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2004","2004",21537.12804,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2005","2005",22347.15126,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2006","2006",23934.55379,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2007","2007",27597.01797,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2008","2008",32628.78606,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2009","2009",31085.79633,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2010","2010",30987.57511,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2011","2011",33614.39656,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2013","2013",34587.69273,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEL","Belgium","2014","2014",35034.28617,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","1999","1999",35065.28413,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2000","2000",36792.48906,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2001","2001",36888.84587,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2002","2002",36897.98554,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2005","2005",48930.77479,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2007","2007",62881.61231,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2008","2008",67949.46746,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2009","2009",75173.74321,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2010","2010",73629.97376,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CAN","Canada","2011","2011",85098.21394,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","1999","1999",2390.24334,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2000","2000",2250.75462,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2001","2001",2531.15888,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2002","2002",3253.9571,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2003","2003",4121.00748,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2004","2004",4783.45357,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2005","2005",5301.83993,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2006","2006",6556.06844,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2007","2007",7316.7042,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2008","2008",8826.60192,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2009","2009",8600.34622,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2010","2010",8432.82386,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2011","2011",9738.27065,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2012","2012",8815.27897,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CZE","Czechia","2013","2013",8566.41553,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","1999","1999",14114.70428,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2000","2000",13271.14597,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2001","2001",13538.35248,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2002","2002",14671.3618,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2003","2003",17713.6178,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2004","2004",20631.77046,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2005","2005",21383.69225,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2006","2006",21866.75332,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2007","2007",24326.02124,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2008","2008",26417.44072,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2009","2009",27141.30333,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2010","2010",27561.23305,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2011","2011",29188.2377,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2012","2012",23678.45649,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DNK","Denmark","2013","2013",29185.54367,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","1999","1999",7937.22945,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2000","2000",7176.96363,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2001","2001",7558.50937,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2002","2002",8407.75662,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2003","2003",10563.24609,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2004","2004",12137.62935,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2005","2005",12339.88463,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2006","2006",12859.09914,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2007","2007",14521.39781,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2008","2008",16589.77873,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2009","2009",16310.15487,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2010","2010",16208.83677,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2011","2011",17738.49242,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2012","2012",18463.72626,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2013","2013",19326.45893,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FIN","Finland","2014","2014",19495.82162,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","1999","1999",84694.85952,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2000","2000",75493.08831,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2001","2001",74875.25477,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2002","2002",81155.73744,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2003","2003",105767.15576,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2004","2004",119736.65259,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2005","2005",121198.23405,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2006","2006",126529.79551,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2007","2007",145011.4974,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2008","2008",159154.38699,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2009","2009",154585.02362,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2010","2010",150439.7351,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2011","2011",157891.1593,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2012","2012",148375.75415,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","FRA","France","2013","2013",154617.24796,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2006","2006",128483.59269,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2007","2007",149398.08858,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2008","2008",165462.18159,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2009","2009",166815.03438,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2010","2010",167914.93583,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2011","2011",180651.52252,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2012","2012",174835.77383,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2013","2013",185185.49509,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","DEU","Germany","2014","2014",191850.84262,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","GRC","Greece","1999","1999",4315.7517,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","GRC","Greece","2000","2000",4203.57262,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","GRC","Greece","2001","2001",4582.26891,,
