"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2005","2005",1523.91647,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2006","2006",1611.68542,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2007","2007",1549.33252,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2008","2008",1598.28753,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2009","2009",2275.14238,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2010","2010",2567.25387,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2011","2011",3793.44685,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2012","2012",3706.76044,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2013","2013",4542.57408,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUS","Australia","2014","2014",4560.78676,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUT","Austria","1999","1999",4382.40971,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUT","Austria","2000","2000",4486.72584,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUT","Austria","2001","2001",4479.16033,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUT","Austria","2002","2002",4872.75897,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUT","Austria","2003","2003",4794.26777,,
"XUNIT_PPP_02_FSGOV_FFNTR","Initial government funding per pre-primary student, PPP$","AUT","Austria","2004","2004",4934.74891,,
