I"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2005","2005",1590.5417,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2006","2006",1694.31869,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2007","2007",1735.44097,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2008","2008",2116.36878,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2009","2009",2414.12171,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2010","2010",3398.07132,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2011","2011",5651.28211,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2012","2012",5886.61308,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2013","2013",6743.16623,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUS","Australia","2014","2014",6107.96238,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","1999","1999",4313.80207,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2000","2000",3754.20398,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2001","2001",3690.22288,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2002","2002",4126.19415,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2003","2003",4811.61047,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2004","2004",5381.15558,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2005","2005",5681.99605,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2006","2006",5951.55329,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2007","2007",6936.01475,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2008","2008",8397.45561,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2009","2009",9012.38484,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2010","2010",9604.71205,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2011","2011",10291.13595,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2012","2012",7584.5917,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2013","2013",8439.90138,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","AUT","Austria","2014","2014",8801.43564,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2001","2001",3168.9826,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2002","2002",3547.36357,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2003","2003",4484.77212,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2004","2004",5192.01202,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2005","2005",5190.28129,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2006","2006",5538.25836,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2007","2007",6364.50372,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2008","2008",7188.35196,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2009","2009",6671.80675,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2010","2010",6761.71472,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2011","2011",7220.08916,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2013","2013",8050.89699,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","BEL","Belgium","2014","2014",8064.99185,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CAN","Canada","1999","1999",2768.8524,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CAN","Canada","2000","2000",2826.27765,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","1999","1999",835.16697,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2000","2000",800.3436,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2001","2001",849.13944,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2002","2002",1110.8008,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2003","2003",1309.88472,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2004","2004",1522.4591,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2005","2005",1804.89461,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2006","2006",2071.24782,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2007","2007",2396.49612,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2008","2008",3102.417,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2009","2009",3159.70721,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2010","2010",3048.60659,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2011","2011",3236.41865,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2012","2012",3080.23578,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","CZE","Czechia","2013","2013",3162.27256,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","1999","1999",4995.31573,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2000","2000",4444.11283,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2001","2001",4719.40311,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2002","2002",5042.07061,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2003","2003",6338.35381,"‡","UIS Estimation"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2004","2004",7634.90764,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2005","2005",7287.05803,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2006","2006",6690.50848,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2007","2007",8147.65647,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2008","2008",9070.58095,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2009","2009",12134.43307,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2010","2010",12229.36894,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2011","2011",23668.74406,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DNK","Denmark","2013","2013",,"a","Category not applicable"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","1999","1999",3485.25554,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2000","2000",3278.8306,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2001","2001",2947.9184,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2002","2002",3229.13369,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2003","2003",4085.98281,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2004","2004",4696.99022,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2005","2005",4934.51946,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2006","2006",5087.79584,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2007","2007",5771.07304,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2008","2008",6587.05058,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2009","2009",6396.06497,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2010","2010",6000.77958,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2011","2011",6553.54251,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2012","2012",,"n","Magnitude nil or negligible"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2013","2013",10688.73082,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FIN","Finland","2014","2014",10680.61018,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","1999","1999",3884.95718,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2000","2000",3437.15581,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2001","2001",3388.57549,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2002","2002",3673.80127,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2003","2003",4837.87434,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2004","2004",5611.45666,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2005","2005",5249.12392,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2006","2006",5461.17694,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2007","2007",6444.38776,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2008","2008",7007.8259,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2009","2009",6972.30644,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2010","2010",6821.37022,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2011","2011",7227.14762,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2012","2012",7128.12769,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","FRA","France","2013","2013",7647.39253,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2006","2006",4403.69181,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2007","2007",5179.04238,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2008","2008",6004.36178,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2009","2009",6149.3685,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2010","2010",6491.69175,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2011","2011",7263.09747,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2012","2012",6398.65274,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2013","2013",7506.10706,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","DEU","Germany","2014","2014",7692.71903,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","1999","1999",902.56784,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2000","2000",828.70181,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2001","2001",983.34562,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2002","2002",1377.46687,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2003","2003",1992.76646,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2004","2004",2387.24316,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2005","2005",2617.69905,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2006","2006",2584.53734,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2007","2007",2883.22929,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2008","2008",3329.38473,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2009","2009",2790.68132,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2010","2010",2739.13307,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2011","2011",2549.91559,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2012","2012",2370.284,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","HUN","Hungary","2013","2013",2588.16957,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","1999","1999",3239.70168,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2000","2000",3453.76896,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2001","2001",3431.48544,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2002","2002",3672.27851,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2003","2003",4588.13891,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2004","2004",5173.5018,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2005","2005",6878.45105,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2006","2006",8628.51511,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2007","2007",11515.13517,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2008","2008",10314.79055,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2009","2009",7631.06478,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2010","2010",7209.02519,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2011","2011",8017.1885,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2012","2012",9518.31405,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ISL","Iceland","2013","2013",10238.51316,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","IRL","Ireland","2012","2012",3322.84284,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","IRL","Ireland","2013","2013",3301.4738,,
