"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2000","2000",214.54138,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2005","2005",416.65072,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2006","2006",496.65139,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2007","2007",592.06134,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2008","2008",716.39894,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2009","2009",623.65099,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2010","2010",815.70666,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2011","2011",988.9498,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2012","2012",1125.86431,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2013","2013",1171.62343,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUS","Australia","2014","2014",1084.86022,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2001","2001",17.42755,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2002","2002",23.73636,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2004","2004",70.49634,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2005","2005",143.66507,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2006","2006",143.95242,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2007","2007",145.08848,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2008","2008",159.85929,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2009","2009",174.45731,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2010","2010",181.31783,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","AUT","Austria","2011","2011",178.841,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2001","2001",297.42659,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2002","2002",279.22151,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2003","2003",354.47818,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2004","2004",523.10076,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2005","2005",510.30682,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2006","2006",516.26828,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2007","2007",582.66865,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2008","2008",609.32061,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2009","2009",560.73344,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2010","2010",543.95443,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2011","2011",578.48785,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2013","2013",451.28697,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","BEL","Belgium","2014","2014",516.09284,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CAN","Canada","2015","2015",,"n","Magnitude nil or negligible"
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2004","2004",228.10583,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2005","2005",130.04582,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2006","2006",144.36406,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2007","2007",169.77682,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2008","2008",215.21393,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2009","2009",105.47667,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2010","2010",144.32729,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2011","2011",169.08703,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2012","2012",150.39932,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","CZE","Czechia","2013","2013",148.08743,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2001","2001",105.62268,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2002","2002",106.77506,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2004","2004",157.05143,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2005","2005",163.95516,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2006","2006",168.40018,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2007","2007",191.7996,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DNK","Denmark","2008","2008",220.02736,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2001","2001",147.0522,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2002","2002",161.18745,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2003","2003",300.03116,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2004","2004",315.32791,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2005","2005",312.64948,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2006","2006",331.04848,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2007","2007",440.9296,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2008","2008",477.05338,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2009","2009",467.37143,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2010","2010",495.1419,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2011","2011",531.55199,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2012","2012",414.37432,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","FRA","France","2013","2013",428.14907,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DEU","Germany","2006","2006",345.65524,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","DEU","Germany","2012","2012",326.32535,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","HUN","Hungary","2012","2012",230.35923,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2007","2007",162.2807,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2008","2008",120.82867,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2009","2009",87.84134,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2010","2010",92.96474,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2011","2011",103.45648,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2012","2012",106.31025,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ISL","Iceland","2013","2013",117.05954,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","IRL","Ireland","2008","2008",77.01079,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","IRL","Ireland","2009","2009",154.25538,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","IRL","Ireland","2010","2010",214.73205,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","IRL","Ireland","2011","2011",232.34051,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","IRL","Ireland","2012","2012",230.33268,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","IRL","Ireland","2013","2013",223.74967,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2001","2001",105.49985,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2002","2002",374.42742,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2003","2003",406.56366,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2004","2004",518.99036,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2005","2005",576.19294,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2006","2006",385.36811,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2007","2007",512.99902,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2008","2008",629.18398,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2009","2009",512.62652,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2010","2010",541.38971,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2011","2011",676.83814,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2012","2012",614.88667,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2013","2013",642.08661,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","ITA","Italy","2014","2014",768.71941,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","JPN","Japan","2001","2001",1588.70327,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","JPN","Japan","2002","2002",1422.22518,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","JPN","Japan","2003","2003",1389.10641,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","JPN","Japan","2004","2004",1508.87749,,
"XUNIT_US_1_FSHH_FFNTR","Initial household funding per primary student, US$","JPN","Japan","2005","2005",1748.6857,,
