"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2006",527,
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2009",527,
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2012",521,
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2015",510,
"AUT","PISASCIENCE","TOT","MEANSCORE","A","2006",511,
"AUT","PISASCIENCE","TOT","MEANSCORE","A","2012",506,
"AUT","PISASCIENCE","TOT","MEANSCORE","A","2015",495,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2006",510,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2009",507,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2012",505,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2015",502,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2006",534,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2009",529,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2012",525,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2015",528,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2006",513,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2009",500,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2012",508,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2006",496,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2009",499,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2012",498,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2015",502,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2006",563,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2009",554,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2012",545,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2015",531,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2006",495,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2009",498,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2012",499,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2015",495,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2006",516,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2009",520,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2012",524,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2006",473,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2009",470,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2012",467,
